נושא הפגישה,תאריך פגישה,לקוח,היו בפגישה,תיעוד וסיכום פגישה,מקושר לקמפיין:,לקוחות copy
שפיצברגן 2026,9/3/2025 4:48pm,פוטוטבע | Phototeva,Idan Alush,"סוכם עם עודד ורועי כי נעלה לקמפיין בתחילת חודש הבא עם 20000 שח תקציב ב2 פלטרפומות הפרסום
",,
עצירת קמפיינים - PORT TLV,9/7/2025 3:00am,קבוצת חג'ג' | Hagag,"sharon Raz,Ben Shalev",נשלח מייל מהלקוח לעצור את הפעילות של PORT TLV עד להודעה חדשה,,
שבועית,9/9/2025 10:27am,אלביישן Elevation,,"Dan Mayzlish:
• להכין כתבה וסרטון AI על ניהול פרויקטים עבור קורס ספיר ולהעלות אותם במהירות (עד ה-30 בחודש)
• לשלוח לגל Koll את הלינק לקובץ המעקב של הקמפיינים
• לבנות קמפיין רימרקטינג על כל מי שיצר מעורבות עם העמוד של נשותה בפייסבוק ולינקדאין, כדי להגיע לרקרוטמנט ולקורסים עתידיים
• לנתח את תוצאות הסרטון למילואים ניקים ולבחון דרכים להגדיל את החשיפה


yishay sayag:
• לעדכן את עומר וגל Koll על מצב המפגש חשיפה של נגב טאלנט תוך יומיים, כולל התקדמות בלידים ל-IT ול-Full Stack
• להעלות קמפיין לינקדאין לנגב טאלנט ולבדוק תוצאות תוך יומיים
• לשלוח הודעה למור בנוגע ל-AWS Restart כדי לקבל עדכון אם יש מספיק אנשים בקריטריון ולהעביר את המידע לגל Koll
• לעדכן את גל Koll בתשובת מור לגבי המשך קמפיין AWS Restart
• להעביר לגל Koll את נתוני העלות של קמפיין כנרת עד כה (כולל פירוט עלויות והמספרים המעודכנים)
• אישי סיאג ידבר עם אורן לגבי חידודים נדרשים לאתר טקטרופ ולוחות זמנים חדשים להכשרות


Gal Koll:
• לקבל מנשותה את העמודים הרשמיים בפייסבוק ולינקדאין ולשלוח אותם לדן Mayzlish לבניית קהל רימרקטינג
• לברר עם נשותה האם יש להן רשימות דיבור/מיילים של הנמענות ולבדוק אפשרות להשתמש בהן לשיווק


* אימייל זה נכתב בעזרת timeOS.ai",,
עלייה מחדש לאוויר,9/16/2025 2:20pm,H2 | מי מימן,Idan Alush,"סוכם כי נעלה עם הקמפיין החדש במטרה של רכישה ישירה באתר במקום שארת פרטים (יצויין כי יהיה אופציה גם להשאיר פרטים אבל ככפתור משני ופחות בולט)
פעולות להמשך: דיוק הדף נחיתה שיוביל לרכישה והפעלת הקמפיין",,
עדכון מערכת אדסקייל,9/25/2025 11:00am,שמרת הזורע | SHW,Idan Alush,"פיצ'ר חדש של אדסקייל לעשות אופטימזציה לכותרות מוצרים על בסיס העמוד מוצר - זיו רשם את שמרת הזורע, יעדכן אותי שזה יוכל לעלות לאוויר.

אם יש פגישה עם נציג של גוגל לבקש ממנו את הבטא של המיקומים בפימקס",,
וויקלי עם בן,10/20/2025 3:00pm,,"Idan Alush,Ben Shalev","סיכום פגישה:
מילגה להוציא מייל על האתר ולכבות קמפיינים ל24 שעות הקרובות עד שנדע בוודאות שהאתר החדש באוויר והכל תקין איתו.

מילגה דאטה פיד וואץ לאתר החדש בטיפול של בן @Ben Shalev 

להוציא לזיו מייל על שמרת הזורע בנושא החזר השקעה שצמח מאוד בפייסבוק אבל ירד בגוגל. בפועל אין גדילה במכירות.

להוציא לבן מייל על קראיטיבים חדשים לקורסים של שנקר הנדסאים כדי שהוא ישלח לסטודיו.

לקוחות חדשים:
נוף כנרת פרוייקט שטח לדירה: מחכים שמייאש יעביר את הדף נחיתה של לאבאבל לוורדפרס אלמנטור
אפשר להתחיל לעבוד על קופי קראייטיב לקמפיינים.

פטריקס אתר שופיפיי לרצועות מיוחדות לכלבים, מתוכנן לחבר אליו את אדסקייל, לעשות יישור קו על האתר מבחינת קופי ואסתטיקה, ואופטימזציה לקמפיינים. המטרה להגדיל את החזר ההשקעה מ3 ל6 בחודשים הראשונים.

אנטי-וירוס איסט פגישה פרונטלית במשרד בחמישי הקרוב על תחילת עבודה.

פרופיט - עוברים מפעילות סושיאל לפעילות סושיאל ופרפורמנס וגיוס לידים לאתר החדש שלהם.",,
פגישת אסטרטגיה פוטוטבע ,10/21/2025 1:00am,פוטוטבע | Phototeva,"Idan Alush,sharon Raz,Ben Shalev","רועי רוצה אסטרטגיה ברורה, מי אנחנו, מה הבידול שלנו מהמתחרים, איך אנחנו מתמודדים עם התחרות
שלושה דברים שהם רוצים להבליט:
1. באמת/אותנטי (לא ai)
2. גישה (Access) - ליעדים ואיך למצוא בעלי חיים, הדבר האמיתי שאצל אחרים לא מקבלים.
3. אינטימיות - יחס הדרכה גבוה, מוגבל כמות אנשים להגעה בחוף, אוניות קטנות וקבוצות קטנות, טיולי חופים הכי מבוקשים בעולם ללא הגבלה בזמן בלעדי רק בפוטוטבע.

פעולות המשך:
קביעת פגישה נוספת
דרישות של חומרים ותוכן שאנחנו צריכים לקמפיינים/סושיאל
הכנת תוכנית עבודה על בסיס הערכים שרועי הציג
הקמת קמפיין אוורנס נוסף עם חומרי וידאו
",,
פגישת חשיבה מכונות ביתיות,10/22/2025 3:00pm,H2 | מי מימן,Idan Alush,"נקודות חשובות לדף

 ליצור קשר עם לקוחות שקנו את המכשיר הביתי שיצרו תוכן        אותנטי לגבי המוצר
 מחקרים על המכשיר, קייס סטאדיז, מה הוא עושה תכלס, סרטון קצר של שימוש במוצר, איזה התקנה זה מצריך, החלפת סנן, שימושים נוספים, כמה שיותר תשובות לשאלות הקלאסיות

אולי להפסיק בקבוקים ולתת דגש על מכשירים ביתיים

CPL בקבוק היה כ-50


בקבוקים
לשלוח תוכן UGC קיים של הבקבוקים
לשים UGC בדף
לשקול עליה לקמפיין לידים חזרה",,
התנעה מחדש של קמפיין למפגש בניו יורק,10/23/2025 6:16pm,HAGAG ABROAD,Dan Mayzlish,"קמפיין חדש בתקציב: 15,000 ש""ח 
יעלה בלינקדאין + מטה
מיקומים: ניו יורק- עם מיקוד בשכונות היהודיות
ניו ג'רזי

Landing Page Title:
Title: From New York to Tel Aviv - An Exclusive Evening with Hagag Group 
Tagline: Discover How to Invest in Tel Aviv’s Most Prestigious Properties with Confidence.

למצוא ביטוי הנעה לפעולה שיראה על אקסלוסיביות, שלא כל אחד נכנס. 
במקום הביטוי להרשמה

Final Location - not set yet
Date 17 November 2025
18:30 - 21:30

Action Items
- Update text on LP
- Test a new background for header (and change the moma image to something port)
- Update ads with text and new design
- Kate: to send content about participants
- Kate: Send email automation text",,
תקציבי נובמבר שנקר,10/28/2025 2:00pm,שנקר הנדסאים,"Idan Alush,Ben Shalev","הנדסאים - בניין ותוכנה כמו שהם נשארים עד יום שישי הבא (06.11) 
לעשות רימרקטינג לכל הקורסים ו2 ההנדסאים הנותרים
שאר הקמפיינים להוריד ביום ראשון בבוקר או במוצ״ש הקרוב.
אדריכלות הכי כואב להם - ירידה של 33% 
אחרי זה תקשורת חזותית - חסר 40% 

3000 לכל קורס כפול 7 קורסים
מעט תקציב לקמפיין גוגל עיצוב פנים בצפון - מחקר ביטויים
לוודא שהטקסטים שיש בדף נחיתה ux/ui הם כמו באתר, לעדכן מודעות בגוגל/פייסבוק במידת הצורך
לא עכשיו, בעתיד - מבחן הסמכה בינלאומי לקורס, יהיה צורך בשינוי בקמפיין ובדף נחיתה כדי להדגיש את זה

@Ben Shalev ",,
סיכום חודשי - אותם שני - אוקטובר 2025,11/6/2025 11:38am,,"Ben Shalev,sharon Raz","היי בן,
להלן סיכום שיחה - רותם שני - 6.11.25
פתח תקווה:5-6 מכירות לאחר ההפנינג60 לידים רלוונטים מתוך 243לידים רלוונטיים: 24.7%
רלוונטיים → מכירה: 10%
כלל הלידים → מכירה: 2.5%ישלחו רשימה של ה-60 הרלוונטים ולשים אותם בפייסבוק עם לייבלגוגל - שוקלים לעשות עוד מבצע שהוא ללא הפנינג, אולי מבצעי סוף שנהרעננה:הם לא מרוצים מעלויות הלידים:הם אומרים שזה בחודשיים האחרונים קרה (לא קיבלנו זה פידבק מהם עד לפגישה הזאת)אומרים שזה בגלל מחיר, מיקום, פונים ככה סתםאנשים לא יודעים איפה הרחוב הזה נמצאבטיפול תום - קריאייטיב חדש עם רחפן + איש מכירות שידבר ברקע על דירות גן ברעננהיהיה את השילוט חוצות אחרי שיהיה את הקריאייטיב החדש עם הרחפןלאחר שהם ישלחו את הקריאייטיבים לדירות גן לנתח עם בן שבוע לאחר מכן את הביצועיםלבחון טיק טוק?גבעתיים:להגדיל רדיוס ל-17ישלחו קריאייטיב רק של 3 חדרים, לאחר מכן, לפתוח קהל של משקיעים בנדל""ןדוחות SEO - להוסיף חיפושים ב-AI (לא יודע אם זה אפשרי בכלל)
כללי:אורך חיי פרוייטק הוא 3 שניםלהכין מסמך ל-IDX לרעננה ופתח תקווההפנינג דירות בגבעתיים?",,
פגישת אסטרטגיה פוטוטבע - פגישה 2,11/11/2025 1:00am,פוטוטבע | Phototeva,"sharon Raz,Idan Alush,Ben Shalev","היי,

להלן סיכום פגישה עם פוטוטבע שהתקיימה בתאריך 11.11.25. זו פגישת המשך לפגישה שהייתה שבועיים לפניי כן.

יצירת שפה תקשורתית - לקחת את המסמך שבן ייצור ולראות איך מייצרים שפה תקשורתית עם TONE OF VOICE
לאחר מכן, צריך להכין 20-30 סרטונים - התמקדמות על טיולים לקטבים
לעשות מודעות מודעות שמתבססות על עובדות למשל: פוטוטבע היא היחידה שחוכרת אוניות לקטבים (צריך לקבל מהם עוד עובדות). כמו כן יש להם יתרון יחסי מובהק בקטבים לעומת המתחרים
לעשות קרוסלה עם 5 עובדות למה לטייל עם פוטוטבע
המתחרים - החברה הגיאוגרפית, אקו, עולם אחר, עושים סרטונים שעושים חשק. החשק מגיע מאנשים שעושים כיף בטיולים + בעלי חיים. אנחנו צריכים להכין סרטונים/תמונות שעושות חשק לאנשים לצאת לטיולים עם פוטוטבע.
שבוע הבא פגישה נוספת - צריכים לבוא מוכנים עם שפה תקשורתית",,
,,CyberLion PPC,,"חנות
- מייל הרשמה לפרטנר - לשלוח לריקרדו
- לחבר לזוהו - זפייר / n8n 
-  לשלוח - לריקרדו / ולמרב יוזר לגוגל אדס
-  לקבל גישה לדיל פרונט - 
- להסתכל - מגוגל - 
- כתבה ע לאנקזייטי / ופסוורד - לשים באתר
- דאשליין - גוגל
- להוסיף פימקס
-  מפתחות FEITAN - לחנות + זיהוי אצבע (זה יקר)
-  להוריד את אקסטרו יותר למטה
- להוסיף ממומן לFEITAN - 
-  עברית - שפות, 
- 
- LiamResnik@123  
- לעדכן כתובת - 
- Dashlane - דף בעברית - 
",,
AUDIT - רותם שני - 25.11.25,11/25/2025 12:01pm,רותם שני | Rotem Shany,"sharon Raz,Ben Shalev","הייתה פגישה עם אסי, הוא חבר של בן. 10 שנים בתחום.
הפגישה הייתה לעשות אודיט על חשבון גוגל של רותם שני.
כל הפגישה דיברה על פרויקט פתח תקווה.

להלן המסקנות (גם מסקנות כלליות)
1. בקמפיין פימקס הוא עושה הפרדה של אד סט לפי קריאייטיב. אך יחד עם זאת, הוא אומר ש""אין אמת אחת"", מה שעשיתי זה גם טוב ואם זה עובד אז זה עובד.
2. מכיוון שבפימקס רואים שהדיסקאבר מביא המרות זולות (75 ש""ח), הוא ממליץ לנסות גם דמנד ג'ן
3. ב-ADS SCHEDUAL הוא מחלק את היממה ל-3. לאחר תקופת זמן מסויימת שמצברת דאטה (צריך לפחות שבוע) הוא מתחיל לאפטם את הקמפיין לפי שעות וימים שמביאים המרות
4. הוא ממליץ לעשות ניסוי על קמפיין חיפוש עם הדף המקוצר של פתח תקווה. לאורך כל החשבון החיפוש בפתח תקווה לא עבד ואולי שינוי לדף מקוצר יכול לעזור להביא המרות בקמפיין חיפוש. 

יש פגישת המשך בשבוע הבא ב-1.12.25 בשעה 10:00",,
"פגישה עם מנכ""ל",1/5/2026 12:22pm,ESET,,"- צריך לחשוב איך עובד משווק
- השירות הוא זה שמבדל את קומסקיור - צריך לראות אם אפשר להציג את החוזקה בקמפיינים
- רותם = מנהל מכירות / רונן = בעלים
- חשוב למנכ""ל היכרות עם העולם הזה - 
מי הם האנליסטים בשוק
מה זה מפיץ
- עולם הקונסומר הוזנח / ולא באמת פוצח בשנים האחרונות

",,
 עם אדם על קמפיין  למהנדסי מערכות,,Adcom | אדקום,,"קהל יעד: מהנדסי מערכות
כל מהנדס יש הכלי מודלים - סימולציות 
גם לסולידי - ולתוכנה פאי צ’ארט



האם סולידי?
מהנדסי מערכות - 
מהנדסי מערכות - חשמל ומכונות - 
היום מכונית יש בה זה בכלל חשמל ומכניקה. 

מהנדס מערכות - 

BOM - 
מתקשר עם אופיס / אקסל / ויזיו 
המידע מבוזר / כמשנים משהו במקום אחד 
MBSE - אופיס  משהו קלאסי - מהנדסי מערכות- לנהל דרישות
אם יש 1,000 דרישות - לקשר את הדרישות לטסטים - 
קשה לנהל באקסל.  אלביט - ככל שהמוצר יותר מסובך ומורכב - זה יורת גדול
חברת רחפנים - יש משתמש אחד שהשתמש באחד מהפיצ’רים - בשביל לעשות סקר חלופות. בואינג / לוקהיד מרטין / צוללות   אלביט / רפאל מתעניינים / סולר אדג’.  

מספיק להתפזר -  ברושור? 

מהנדס מערכת -  CTO - 
לוויינים / רכב / מכונות / מדפסות תלת מימד / סולאראדג’ / - CLEVEL -   לומדים את זה במערכת -   מנכ”לים / סמנכ”לי  - מונעים טעויות / מונעים עבודה נוספת - חוסך המון כסף. 
עולה על תקלות מוקדם יותר - אפס טעויות - 

דרישות - DOORS כלי לדרישות. JIRA למוצרים
לא מתאים למערכות -   ",,
פגישת מצגת אסטרטגיה,2/11/2026 6:40pm,ESET,,"השתתפו: 
רותם - סמנכ""ל מכירות
יש מתחתיו 6 מנהלי תיקי לקוחות

עידן - סמנכ""ל טכנולוגיות ומנהל תמיכה
יושבים מתחתיו מנהלי מוצרים - שלשניהם קוראים אלכס

- לקבוע פגישה עם רותם ללמוד יותר על המשווקים
- להיות בקשר שוטף עם רותם כדי לקבל פידבקים על אפקטיביות קמפיינים מהצד של משווקים
- כניסת ה- AI - איום נוסף על אבטחת מידע וגם הזדמנות
- הרבה לקוחות B2B לא מכירים את כל היכולות של ESET
- לדבר עם גיל על ניתוח MQL/ SQL של שנה שעברה 
",,
קמפיין חדש אדווארדו,2/12/2026 7:04pm,Paseos Polras | פאסוס פולראס,Idan Alush,"https://northflowstudio.wixstudio.com/polar-table

טיול חדש של אדווארדו לסבלברד ארטיקו בשנת 2027 מתחילים
לבנות אוורנס ולייקים לאינסטגרם ולדף פייסבוק כדי שיהיה שם מעורבות עד ה15 למרץ | 15$ ליום
טיול לארטיקו של 12 אנשים קבוצה קטנה עם ארוחות שף 2 כוכבי מישלן
קהלים: פודיס, טיולים, ומסעות מיוחדים בעולם.
צריך מסר חזק שאנשים ממש יצפו לזה
עלייה לאוויר בערך בשלישי-רביעי
צריך לחבר את האינסטגרם לביזנס מנגר ולפתוח דף פייסבוק חדש",,
שיחה עם עוזי - תקציב + ,2/18/2026 4:51pm,ESET,"Dan Mayzlish,sharon Raz","'- הגבלת עלות לקליק באנטי-וירוס
- אופטימיזציה של דף נחיתה אנטי וירוס - לנסות להוסיף מידע על תמיכה מקומית של קומסקיור
-  לתת למודעות בכיתוב- “מחיר החל מ-“
-  הורדת גרסת ניסיון - 
-  
- הערה: בקרת הורים - אין לטלפון (רק לדסקטופ)
-  לבדוק ביטויים נוספים: מנקה וירוסים    
לבדוק מה אתרantivirus.co.il עושה בפייסבוק - 
עוזי יבדוק  מה אנשים שואלים בוואטסאפ - 

קלאריטי - לקבל גישה.- 
לעשות טקס על הורדת פוטר / הדר בדפי נחיתה

- להגיש תוכנית לקידום UGC סוהו - 2,000 ש”ח
- לבדוק המרות דסקטופ מול נייד
@sharon Raz 
",,
פגישת KICKOFF,2/19/2026 3:02pm,העברית ירושלים,,"קורס TIP
- 4 שבועות - 12.7 עד ה- 6 באוגוסט 
- לרוב מ- 17-8 (שעות פעילות)
- להכניס AI - לא בונים סטרטאפים של AI, משתמשים ב- AI כדי לשפר יזמות EMPOWERMENT, VIBE Venturing
- לקבוע שיחה עם דן + 

דף נחיתה -> 
יזמים - צעירים / ומדי קריר 
ישראלים ואמריקאיים -  זה קורס ליבה למשתתפי ה- MBA
פותחים את זה למסלולים בתוך האוניברסיטה -
ישראלים + 
בינלאװײים - 
נמצאים בתואר / או יזמים / או עולים / עולים חדשים / דוברי אנגלית - עסקים - 
בריף
https://docs.google.com/document/d/15Rn2r_gtKhK10eWNlraXEHJQt5J9mLcPGrfBm1xpYBM/edit?tab=t.0

כאלה שמחפשים שיפט בקריירה -  יזמות - 3 נקודות גישה לעסקים - 
היכרות עם התעשייה -> 
סיורים לסטרטאפים ->
לבנות יוזמה במסגרת כיתות ->  
",,
ניתוח לידים - 18.2.26,2/18/2026 2:00am,פוטוטבע | Phototeva,sharon Raz,"לאחר שיחתינו, אני רושם את הדברים בנוגע לסירובים ותובנות נוספות:
חושבים שהטיול הוא רק לצלמים - צריך לחדד במסרים במודעות ובדף נחיתה שהטיולים מתאימים גם למי שלא צלם
חשש מגלים - במיוחד בשפיצברגן, הם חושבים שמפליגים בגלים גבוהים מה שממש לא נכון. צריך להדגיש במסרים שמפליגים בין פיורדים במים מאוד רגועים ושקטים
טיולים לאפריקה - צריך להדגיש בדפים ובמסרים שכל הטיולים כוללים טיסה
קטבים (אנטארקטיקה + שפיצברגן) - להבליט קצת יותר שהטיולים הם ללא טיסות
אנטארקטיקה - לתת יותר דגש שיש טיסה מיוחדת/פריומים שהיא מעל מייצרי דרייק הסוערים
טיימינג - יש הרבה אנשים שאומרים ""כן.. זה עוד שנה.. יש עוד זמן..."". צריך לעשות מודעות שמייצרות דחיפות למשל מקומות אחרונים עד לתאריך מסויים. ליצור FOMO ללא הנחות.
פתיחת קמפיין למי שהשאירו לידים - רוב האנשים לא סוגרים בפעם הראשונה והם בדרך כלל מתלבטים, לכן צריך לפתוח קמפיין לכל האנשים שהשאירו ליד.
מחשבה - טופס ליד פנימי של פייסבוק עם לפחות 3 שאלות - להביא אולי פחות לידים אבל מי שבא שיהיה סופר רלוונטי.",,